,count,mean,std,min,25%,50%,75%,max
dur,2540047.0,0.6587915950775715,13.924930711290893,0.0,0.001037,0.015861,0.21455449999999998,8786.637695
sbytes,2540047.0,4339.6000640933025,56405.99468090534,0.0,200.0,1470.0,3182.0,14355774.0
dbytes,2540047.0,36427.593727990075,161096.03554232957,0.0,178.0,1820.0,14894.0,14657531.0
sttl,2540047.0,62.78197490046444,74.62276529681716,0.0,31.0,31.0,31.0,255.0
dttl,2540047.0,30.766809826747302,42.85088812399995,0.0,29.0,29.0,29.0,254.0
sloss,2540047.0,5.163920982564496,22.517074893366352,0.0,0.0,3.0,7.0,5319.0
dloss,2540047.0,16.32944351029725,56.594744478662584,0.0,0.0,4.0,14.0,5507.0
Sload,2540047.0,36956447.50891565,118604331.28252389,0.0,135396.2656,589303.75,2039922.75,5988000256.0
Dload,2540047.0,2450861.2162585156,4224862.941551688,0.0,11915.9375,589317.875,2925973.5,128761904.0
Spkts,2540047.0,33.28884347415619,76.28388267935746,0.0,2.0,12.0,44.0,10646.0
Dpkts,2540047.0,42.7266408849915,121.5019637021164,0.0,2.0,12.0,42.0,11018.0
swin,2540047.0,150.088749145193,125.48240923262864,0.0,0.0,255.0,255.0,255.0
dwin,2540047.0,149.74588344231427,125.54384122423704,0.0,0.0,255.0,255.0,255.0
stcpb,2540047.0,1261701280.621727,1422026719.1773627,0.0,0.0,639725026.0,2467159621.0,4294958913.0
dtcpb,2540047.0,1261766463.3285675,1422139125.9757662,0.0,0.0,638417164.0,2469410644.0,4294953724.0
smeansz,2540047.0,124.253610661535,151.9162066963048,0.0,60.0,73.0,132.0,1504.0
dmeansz,2540047.0,276.6719100079644,335.6166243757676,0.0,69.0,89.0,565.0,1500.0
trans_depth,2540047.0,0.08325318389777826,0.35000453529944087,0.0,0.0,0.0,0.0,172.0
res_bdy_len,2540047.0,4242.117813174324,47500.52596364089,0.0,0.0,0.0,0.0,6558056.0
Sjit,2540047.0,1589.0366782790468,16910.36327941703,0.0,0.0,19.124899,413.7935225,1483830.917
Djit,2540047.0,730.07546452523,3438.558345615139,0.0,0.0,2.653561,63.508566,781221.1183
Stime,2540047.0,1423260752.8711755,1134448.5357910807,1421927377.0,1421952193.0,1424226977.0,1424245007.0,1424262068.0
Ltime,2540047.0,1423260753.6362422,1134448.3356580404,1421927414.0,1421952196.0,1424226978.0,1424245008.0,1424262069.0
Sintpkt,2540047.0,193.3224882549996,2779.163113258013,0.0,0.009,0.468262,7.3514275,84371.496
Dintpkt,2540047.0,78.82476440594368,1433.1914361407353,0.0,0.006,0.414755,6.2021,59485.32
tcprtt,2540047.0,0.0061804747345226285,0.046158634233473626,0.0,0.0,0.000613,0.000702,10.037506
synack,2540047.0,0.003287595164971357,0.025935698145697992,0.0,0.0,0.000483,0.000554,4.525272
ackdat,2540047.0,0.002892879569551272,0.02394667840358268,0.0,0.0,0.000122,0.00014,5.512234
is_sm_ips_ports,2540047.0,0.0016515442430789667,0.040605631306763035,0.0,0.0,0.0,0.0,1.0
ct_state_ttl,2540047.0,0.2611546164303259,0.6830973709863759,0.0,0.0,0.0,0.0,6.0
ct_flw_http_mthd,1191902.0,0.2345855615646253,0.7940923868743437,0.0,0.0,0.0,0.0,36.0
is_ftp_login,1110168.0,0.03969939684804462,0.19965887857285036,0.0,0.0,0.0,0.0,4.0
ct_srv_src,2540047.0,9.206988295885864,10.836755438303902,1.0,2.0,5.0,10.0,67.0
ct_srv_dst,2540047.0,8.988957684641269,10.822488842900633,1.0,2.0,5.0,10.0,67.0
ct_dst_ltm,2540047.0,6.439103292183177,8.162033716583597,1.0,2.0,3.0,6.0,67.0
ct_src_ ltm,2540047.0,6.900986084115766,8.205062081176568,1.0,2.0,4.0,7.0,67.0
ct_src_dport_ltm,2540047.0,4.642139298997224,8.477578620018123,1.0,1.0,1.0,2.0,67.0
ct_dst_sport_ltm,2540047.0,3.5927291896567266,6.1744453334858855,1.0,1.0,1.0,1.0,60.0
ct_dst_src_ltm,2540047.0,6.845885922583323,11.258281877486997,1.0,1.0,2.0,5.0,67.0
label,2540047.0,0.12648702957071267,0.3323975096470176,0.0,0.0,0.0,0.0,1.0
